dataset,max_data_num,gamma,tau,value
FLAN,3200,3,1,0.4484135700329699
FLAN,6400,3,1,0.4894151116974559
FLAN,12800,3,1,0.5800165524958782
FLAN,25600,3,1,0.5858638882263185
FLAN,51200,3,1,0.7516101406792229
FLAN,102400,3,1,0.8334409511808201
FLAN,204800,3,1,0.965429402667432
FLAN,3200,3,2,0.4657714706880259
FLAN,6400,3,2,0.499960975440834
FLAN,12800,3,2,0.5482954181407276
FLAN,25600,3,2,0.5912719669014608
FLAN,51200,3,2,0.765764718698464
FLAN,102400,3,2,0.850198369450447
FLAN,204800,3,2,0.9458757676905906
FLAN,3200,3,3,0.4396068746055183
FLAN,6400,3,3,0.4851870161949445
FLAN,12800,3,3,0.5526081295515424
FLAN,25600,3,3,0.6275975387903985
FLAN,51200,3,3,0.7428051293578842
FLAN,102400,3,3,0.8330631695609241
FLAN,204800,3,3,0.9165841642784908
FLAN,3200,3,4,0.466365112429177
FLAN,6400,3,4,0.5307284784979627
FLAN,12800,3,4,0.5475048489643177
FLAN,25600,3,4,0.6129946021674272
FLAN,51200,3,4,0.6996525741440469
FLAN,102400,3,4,0.8277233234879471
FLAN,204800,3,4,0.9396755143989688
FLAN,3200,3,5,0.4565059288567438
FLAN,6400,3,5,0.5080694150767108
FLAN,12800,3,5,0.5369043072219069
FLAN,25600,3,5,0.6302923297482259
FLAN,51200,3,5,0.6751346564258744
FLAN,102400,3,5,0.7270404561099301
FLAN,204800,3,5,0.8908073047855392
FLAN,3200,4,1,0.4328009259191853
FLAN,6400,4,1,0.513630837424321
FLAN,12800,4,1,0.5458284836190632
FLAN,25600,4,1,0.6390510119428546
FLAN,51200,4,1,0.6663552232309863
FLAN,102400,4,1,0.8084820479219383
FLAN,204800,4,1,0.9219605773009376
FLAN,3200,4,2,0.4000953018801499
FLAN,6400,4,2,0.5137659647157172
FLAN,12800,4,2,0.5233043933740729
FLAN,25600,4,2,0.6016923434987169
FLAN,51200,4,2,0.7213965145722742
FLAN,102400,4,2,0.8184904672454896
FLAN,204800,4,2,0.9180848348325852
FLAN,3200,4,3,0.4266895331029308
FLAN,6400,4,3,0.4968904078587551
FLAN,12800,4,3,0.4960485407596003
FLAN,25600,4,3,0.5769281941398063
FLAN,51200,4,3,0.6398527546295332
FLAN,102400,4,3,0.7854947607746569
FLAN,204800,4,3,0.8994766600566264
FLAN,3200,4,4,0.4263350621423093
FLAN,6400,4,4,0.4889114596029904
FLAN,12800,4,4,0.5311908408192043
FLAN,25600,4,4,0.5403749909175358
FLAN,51200,4,4,0.612169293018841
FLAN,102400,4,4,0.6832684890945971
FLAN,204800,4,4,0.8809511403082783
FLAN,3200,4,5,0.3974426978134636
FLAN,6400,4,5,0.4814027790104215
FLAN,12800,4,5,0.5037236596859979
FLAN,25600,4,5,0.5664303889676403
FLAN,51200,4,5,0.558799106102461
FLAN,102400,4,5,0.6234279307780883
FLAN,204800,4,5,0.8032379447755954
FLAN,3200,5,1,0.3987288570945458
FLAN,6400,5,1,0.427454674987979
FLAN,12800,5,1,0.5172272570292696
FLAN,25600,5,1,0.5926904190824268
FLAN,51200,5,1,0.6975365501642142
FLAN,102400,5,1,0.7707609823672593
FLAN,204800,5,1,0.8756189965124082
FLAN,3200,5,2,0.3987282260580154
FLAN,6400,5,2,0.4231988854053566
FLAN,12800,5,2,0.5108353525552112
FLAN,25600,5,2,0.6021507131456838
FLAN,51200,5,2,0.6460973084530979
FLAN,102400,5,2,0.740591789265501
FLAN,204800,5,2,0.864568408461455
FLAN,3200,5,3,0.3612057978870004
FLAN,6400,5,3,0.4496188147314545
FLAN,12800,5,3,0.5060085099728066
FLAN,25600,5,3,0.5351293368923606
FLAN,51200,5,3,0.6567827456242399
FLAN,102400,5,3,0.7390490898303885
FLAN,204800,5,3,0.8519224757368072
FLAN,3200,5,4,0.345028059297413
FLAN,6400,5,4,0.4579266249008407
FLAN,12800,5,4,0.5048543187349571
FLAN,25600,5,4,0.5555345297500394
FLAN,51200,5,4,0.6093782890005207
FLAN,102400,5,4,0.5982685502035731
FLAN,204800,5,4,0.7287950971971454
FLAN,3200,5,5,0.4031672682217775
FLAN,6400,5,5,0.4733425583748684
FLAN,12800,5,5,0.4747973615624448
FLAN,25600,5,5,0.5423088354129318
FLAN,51200,5,5,0.6080118386994252
FLAN,102400,5,5,0.5848284098834047
FLAN,204800,5,5,0.683735508506086
GIGAWORD,3200,3,1,0.8945238068634822
GIGAWORD,6400,3,1,0.9071150373944324
GIGAWORD,12800,3,1,0.822981385072923
GIGAWORD,25600,3,1,0.8253981044648493
GIGAWORD,51200,3,1,0.9483751789529352
